id,b,c,v,t
1001001,1,1,1,"In the beginning God created the heaven and the earth."
1001002,1,1,2,"Real KJV text for book 1 1:2"
1001003,1,1,3,"Real KJV text for book 1 1:3"
1001004,1,1,4,"Real KJV text for book 1 1:4"
1001005,1,1,5,"Real KJV text for book 1 1:5"
1001006,1,1,6,"Real KJV text for book 1 1:6"
1001007,1,1,7,"Real KJV text for book 1 1:7"
1001008,1,1,8,"Real KJV text for book 1 1:8"
1001009,1,1,9,"Real KJV text for book 1 1:9"
1001010,1,1,10,"Real KJV text for book 1 1:10"
1001011,1,1,11,"Real KJV text for book 1 1:11"
1001012,1,1,12,"Real KJV text for book 1 1:12"
1001013,1,1,13,"Real KJV text for book 1 1:13"
1001014,1,1,14,"Real KJV text for book 1 1:14"
1001015,1,1,15,"Real KJV text for book 1 1:15"
1001016,1,1,16,"Real KJV text for book 1 1:16"
1001017,1,1,17,"Real KJV text for book 1 1:17"
1001018,1,1,18,"Real KJV text for book 1 1:18"
1001019,1,1,19,"Real KJV text for book 1 1:19"
1001020,1,1,20,"Real KJV text for book 1 1:20"
1001021,1,1,21,"Real KJV text for book 1 1:21"
1001022,1,1,22,"Real KJV text for book 1 1:22"
1001023,1,1,23,"Real KJV text for book 1 1:23"
1001024,1,1,24,"Real KJV text for book 1 1:24"
1001025,1,1,25,"Real KJV text for book 1 1:25"
1001026,1,1,26,"Real KJV text for book 1 1:26"
1001027,1,1,27,"Real KJV text for book 1 1:27"
1001028,1,1,28,"Real KJV text for book 1 1:28"
1001029,1,1,29,"Real KJV text for book 1 1:29"
1001030,1,1,30,"Real KJV text for book 1 1:30"
1001031,1,1,31,"Real KJV text for book 1 1:31"
1001032,1,2,1,"Real KJV text for book 1 2:1"
1001033,1,2,2,"Real KJV text for book 1 2:2"
1001034,1,2,3,"Real KJV text for book 1 2:3"
1001035,1,2,4,"Real KJV text for book 1 2:4"
1001036,1,2,5,"Real KJV text for book 1 2:5"
1001037,1,2,6,"Real KJV text for book 1 2:6"
1001038,1,2,7,"Real KJV text for book 1 2:7"
1001039,1,2,8,"Real KJV text for book 1 2:8"
1001040,1,2,9,"Real KJV text for book 1 2:9"
1001041,1,2,10,"Real KJV text for book 1 2:10"
1001042,1,2,11,"Real KJV text for book 1 2:11"
1001043,1,2,12,"Real KJV text for book 1 2:12"
1001044,1,2,13,"Real KJV text for book 1 2:13"
1001045,1,2,14,"Real KJV text for book 1 2:14"
1001046,1,2,15,"Real KJV text for book 1 2:15"
